"salario_base","treat","edad","educ_padres","distancia","treat_sesgado","salario_sesgado"
523406.476608256,1,25,3,22.8131614163208,1,501123.927144425
468090.211360298,0,18,2,21.3063675629065,0,434932.026872497
530784.587012245,0,19,3,26.55997427217,1,489714.062160702
531237.93373179,1,21,3,1.10365370065887,0,505452.642791697
573944.195946614,1,23,4,11.0001132911434,1,564968.176014341
450459.71562913,1,23,1,21.6026834598859,1,427299.268845931
511420.744928108,1,20,2,8.07519225298818,1,493027.223131558
556876.968596187,1,21,3,17.0154339162644,1,535847.529849559
503952.884402642,0,19,3,15.1084649549794,1,493967.52717773
444904.931029413,1,21,1,3.96714417802936,0,437704.623974032
513488.060273067,1,18,3,0.742691380127392,1,564329.800295874
535936.346752518,1,18,3,2.699832312281,0,523777.090719654
447623.029598657,0,25,1,22.4957850158038,1,409470.139275398
525001.610941059,1,21,3,4.37229891068225,1,529065.861304189
445496.117840513,1,21,1,0.900797557680152,0,443973.925958602
485983.305787075,0,19,2,26.7968725981717,1,473388.371296
523733.643930488,1,24,2,5.05319335643894,0,486303.081250526
508580.451253545,1,23,2,28.8263486341773,1,475879.213045921
480220.185042672,0,22,2,21.5473292065321,1,463025.170201029
614025.321741147,1,21,4,9.82411460081,1,553896.7770963
465337.997646581,0,24,1,9.06046134182379,1,477412.719319172
544792.113669024,1,24,3,8.9397337823337,1,514826.115663456
557748.858666404,0,25,4,23.2481496706821,1,551779.727674867
514291.691799462,1,24,3,15.915972223526,1,542213.39719842
406937.398764994,1,23,1,15.2675490305318,1,450796.289946288
554836.692641087,0,19,4,8.3456870201321,1,579836.052936551
511918.26017479,0,23,3,-3.47664619199769,1,560874.901701207
401523.024967505,0,19,1,-2.2336932194713,0,440782.587503141
556827.444835024,0,24,4,4.95321936774584,1,566100.093939036
487624.073995751,1,22,2,23.8862363454933,1,469919.954162812
453452.377721059,0,23,2,4.18091226734632,0,466760.391358145
431471.753030158,0,25,1,12.0986396644944,1,457979.718747436
545506.675788434,1,25,4,5.19975732844435,1,605137.414847627
550331.878645223,1,19,3,15.1093536011742,1,518554.393385817
562623.227681049,1,23,3,8.05201568823148,0,504444.952260035
474920.174571888,1,18,1,2.34860025484363,0,438821.813940694
536684.349248372,1,21,3,-0.888267428161416,0,561614.600650376
439172.574218261,0,18,1,14.7658941911278,1,454910.92998547
500545.228462346,0,24,2,10.1718803180818,0,462942.275466776
484437.831838287,0,19,2,38.9262899641546,1,461077.787070672
513804.906557656,1,19,2,-9.99025986534377,0,468515.746375484
490061.691921783,1,23,2,6.07900664485449,1,475033.844228887
501323.182961227,0,25,2,19.998149964736,1,459020.76343723
571311.31496988,1,21,4,4.93225023706434,1,585006.588223341
458017.472113474,1,18,1,30.6714109149738,1,465932.582275784
555519.221789105,0,18,4,2.21841732730636,0,523693.953891528
515372.633334963,0,20,3,17.1435188761917,1,536292.596417741
442772.554461229,0,20,1,1.12187911794073,0,412550.169557433
575291.771059849,1,21,4,-1.44522383724288,1,565202.018192007
508481.190969092,0,25,2,1.50297849944869,0,444478.109957469
465200.956095814,0,19,2,7.70291484351382,0,474808.641877483
452899.633712672,1,19,1,18.0870200414865,1,463705.819841892
570785.056092068,1,18,4,-0.434023144432004,0,606823.036238618
489700.629418717,1,25,2,11.8468964717057,0,430685.500753735
488285.502939445,1,20,2,11.3628027953153,1,480858.976138201
503482.937529204,0,18,3,25.1086917485087,1,484947.964436853
443038.065625045,1,24,1,16.4160161620021,1,439546.508724159
494804.763210662,1,22,3,11.1617212055293,1,495520.023044377
529334.68867306,1,25,2,7.20109948159661,1,493920.707693531
539841.427411047,0,22,4,15.9895811596939,1,533446.763585138
567490.227754948,0,22,4,-6.99471548581905,0,546595.934454199
513894.015140943,0,23,3,1.00471896815465,0,543077.35300039
443550.827780111,0,23,1,6.01366491877264,0,444490.594436351
538272.344583137,0,22,3,19.393847021872,1,523507.397174843
534728.801437718,1,18,3,-5.43445126569245,0,494094.818624495
517796.839306716,0,18,3,3.34513747379466,1,529460.177296373
537926.244368855,0,21,4,7.77947807096923,1,597911.789434237
491799.984205071,0,22,2,7.35592391815427,0,448966.623048505
415703.79478038,0,24,1,21.8338957134536,1,456636.579345445
548894.651675651,0,22,4,15.4654070549282,1,545803.10252937
537964.940845213,0,23,3,18.7727896327013,1,509135.687151974
446939.3208993,0,24,2,-2.38329769923399,0,455535.109841828
487766.602910244,1,24,1,12.97883749193,1,455007.703384583
504149.893531395,1,20,2,4.94296610476314,0,471192.005492206
453889.245751661,0,19,2,4.05704292616051,1,500895.080612249
502024.864378445,0,20,2,24.8591503817684,1,472420.941450481
532941.702502764,0,24,3,0.873179540325717,1,531906.603374876
517562.366473496,1,19,2,7.78072657869698,1,485326.392518598
502566.414956838,0,20,3,2.39316923403721,0,506344.84475059
558184.203725809,0,24,4,11.1796572282659,0,545151.371525426
451009.248051621,1,18,1,26.3024886095671,1,452418.867566919
501987.550288285,0,23,3,3.38785094142072,0,481019.1834908
540683.459911648,0,18,4,3.84965068348822,0,547932.4489273
581396.47961312,1,20,4,-9.72237258871401,1,570726.842066495
546056.266454943,0,23,4,13.7692443500202,1,565631.921493868
487602.496340153,1,23,2,7.31498304307879,0,462830.3086671
448758.359466248,0,18,1,23.2750207415147,1,475162.968714191
497490.038089246,0,22,3,14.6174476566654,1,534610.805772342
433294.625554703,0,24,1,1.41954697900385,0,462407.373948129
538950.067682569,0,20,4,17.2058951282534,1,568569.1403528
512771.000986658,1,23,2,3.16542105679923,1,494925.452046595
463345.311996107,1,21,1,9.74756916757244,1,422484.049692569
488848.250419457,1,21,2,4.41934329178328,0,493091.136238312
496960.20994265,1,19,2,9.85783539663734,1,494329.074974121
441893.294366674,1,18,1,-7.97496226155951,0,427455.9367871
498871.960977963,1,22,2,1.14192407367422,0,477676.768773075
446887.5611723,0,20,2,5.85606263522855,1,475569.252802322
482060.06426414,0,22,3,13.3620393326962,1,512201.342171052
469721.542423922,1,22,1,11.8905305296818,1,460030.368780007
529937.086688272,0,21,4,11.2150837839559,1,578232.31970683
430225.623878834,0,23,1,3.58730120596969,0,441890.36836956
499242.977734489,1,20,2,13.9687915481116,1,493973.864276896
461907.437804913,1,23,2,3.04543002778736,1,464654.555964351
524556.317558309,0,20,3,10.5263054836115,1,543426.745143503
557963.425126141,0,25,4,17.0781887028579,1,536916.953136366
510226.233975843,1,20,2,3.22149093490666,1,481546.966925028
533817.893569508,1,25,3,11.5027234678706,1,532357.236498975
510488.89458019,0,22,3,7.21265176777872,1,523285.979645545
452539.100056371,1,23,2,-3.92531377919441,1,486860.704448431
453284.521336812,0,22,2,14.1286360060014,1,488348.546348845
435642.738288559,0,19,1,21.3764586970541,1,425173.478822041
465333.202105864,0,21,2,4.28629986919917,0,470055.682141216
575393.487388361,0,23,4,9.19203728301767,1,620406.133455342
497655.314879176,1,24,2,27.2931327534107,1,447605.558950124
488495.751689724,0,22,3,0.627500146901594,0,540433.62251236
435640.192160842,0,23,1,5.10167071156476,1,473684.693119824
474320.617429695,1,23,2,6.39235437630405,1,459238.474724487
554952.957852512,1,23,4,4.5891021644377,0,546637.851309886
495879.791378187,0,19,2,25.6504612465765,1,449318.977532455
521771.473765222,0,23,3,18.1506843581891,1,533669.957486669
569497.057188029,0,21,4,27.3128769890134,1,564415.818416258
563741.10672104,1,21,4,-7.31146211628055,0,558295.700082456
540312.041313233,0,18,4,16.3649020508951,1,547874.532614405
438440.716702505,0,23,1,2.61773990829197,0,435263.192606179
443090.23038893,0,23,1,5.59488331816763,0,454137.087513188
548758.570075068,0,20,4,13.2095217256005,0,528200.877290724
441640.531409441,0,24,1,-13.0262276224447,1,444918.325970943
598835.968132641,0,23,4,9.16755877043617,0,529760.48888141
482674.572219029,1,23,1,18.2817340482167,1,426076.872567904
538895.164395131,1,21,2,0.776972079617778,0,486918.312380737
506593.099885084,1,22,3,0.807551216609648,1,523506.778898641
545811.747624879,1,21,3,14.516390132537,0,487922.013494412
549930.986095613,1,19,3,6.0416391685878,1,544987.13323548
464046.367908596,0,19,2,15.0744666810816,1,460711.83039582
525674.772148211,0,18,3,5.85993050490883,1,534329.862075263
407918.077454483,0,19,1,8.15923720052744,1,477498.269875611
439555.881923026,0,25,1,-3.83296503388537,1,475825.128687891
468931.530584995,0,21,3,6.5411582671172,1,570976.785089592
556637.413273922,0,20,3,-0.0842914285359253,0,527009.862414839
582787.766456777,0,23,4,5.49528570328763,1,577413.720225027
456764.035628252,0,19,1,28.4673117421401,1,439592.276346305
491764.772073291,0,25,2,14.426974975231,1,486991.340662309
491167.128202073,1,24,2,16.0068828892025,1,470084.796877626
425890.85341915,0,22,1,25.246934598069,1,469535.313988493
584585.491043808,1,18,4,16.2762626129553,1,533565.230272788
513037.547093883,0,24,2,-2.94663443467427,0,475998.730236658
518533.927654536,1,24,2,4.87436235962236,0,461102.579814865
490860.96670476,0,20,3,-4.48332277245241,1,526196.790389525
518175.030059706,1,19,2,9.64844127841213,1,482206.612536152
478593.01034819,1,18,2,17.9211830290104,1,479903.812905137
588003.96907133,1,23,4,4.4035337270471,1,591911.381358643
484060.828014019,1,22,2,12.5485667688779,1,476316.554908333
454051.752670212,0,21,2,33.0140168656605,1,496051.551604924
515491.750190386,0,19,3,4.24918801263678,0,503745.331805032
499705.701796287,0,22,3,5.77783260894105,1,510278.259044066
435612.439634117,1,24,1,3.20757266236969,0,418404.062471451
396126.453922007,0,25,1,-5.56151877471008,0,430919.201399555
466347.529764676,1,18,1,4.6144226925078,1,436316.624164655
457267.417593632,0,23,2,13.0326415363014,1,500544.558410931
552889.189634461,0,18,3,-9.25263680565865,1,512422.165154285
485817.647854115,1,21,2,22.044468683084,1,465892.767068845
463326.358587725,1,21,2,3.73084230633189,0,471336.322927701
495912.073811707,0,25,2,5.35078707367784,0,483385.523406992
468879.396853097,0,25,2,3.89653812071439,1,480417.760361251
511983.025784781,0,21,3,1.51696851150095,0,495404.611847014
563822.386717524,1,19,3,18.3089311280657,1,514303.805721406
475095.727657277,0,18,2,-0.67311812757996,0,471147.956703303
512928.106550117,0,25,3,9.87473893762858,0,487590.768806126
513749.167270332,1,25,2,14.8656044352095,1,514071.790308306
467329.566143482,0,20,2,7.94008550756549,1,519765.752904878
423886.311497526,0,23,1,42.7633099884229,1,447766.823535801
570884.159485265,0,23,4,22.8015102311967,1,570654.65279971
583997.917321928,1,23,3,-4.33976664927417,1,556691.715107832
546538.034465372,1,22,3,27.6242965447927,1,556023.327306193
566901.028348823,1,24,3,11.6833382269973,0,501272.606550865
476462.134881133,1,22,1,-3.78452194532473,0,457347.604069703
586528.597600629,1,25,4,5.05728792781876,1,584320.143935957
495692.928671055,1,19,1,21.3425459881439,1,451963.867119386
470968.98561833,0,24,2,10.9841883176104,1,478135.191824491
551288.998734498,0,21,3,-5.1649248241819,0,536546.927217138
551550.652845731,1,25,3,-7.18986812732071,1,517915.902458658
568083.001433324,0,22,4,20.1951614924151,1,540028.169916179
568140.091620405,1,24,3,12.012230426827,1,512104.168544971
474766.585600713,1,18,2,7.52734983183912,0,491581.855830427
509001.074752601,0,18,3,24.21583736617,1,530318.955940934
509700.272304873,0,25,3,10.2075253987109,0,478281.376363252
582574.380623236,1,19,4,22.4139596579485,1,569938.346904227
506657.884397725,0,18,2,4.2028571950532,0,499967.01534768
520862.613148317,1,25,3,5.10352576197033,1,523784.398883186
525138.027124325,1,22,3,-2.83419237669779,0,540489.107251128
556687.286154653,0,25,3,17.2047014035563,1,537232.990091345
522766.846496444,0,19,3,30.4887942584026,0,493054.313536168
542326.378329965,0,19,3,11.0021072532663,1,500426.833060339
503753.296741088,0,24,2,12.5039930925733,1,502076.321150808
490992.201679379,1,25,2,11.5260047450043,1,507659.291409792
441924.139506609,1,21,1,1.81615112698734,0,428042.16703205
402612.797036183,0,21,1,-10.1759685766595,1,482046.702979878
516698.672812622,1,22,2,23.797623368157,1,469504.197984721
530365.410150742,0,22,3,4.50698608375191,1,517112.577717177
524213.182306806,1,23,2,1.03440341868035,1,502069.668849071
562901.624812426,1,22,4,24.8393844393586,1,575730.474082333
542510.686824527,0,19,4,14.6622847246525,1,602235.427275641
416245.439440532,0,20,1,24.2057882362839,1,435024.403434596
484558.114849069,1,25,2,10.0998140823077,0,473859.153257169
452682.32808158,1,20,1,1.49247645168729,1,460382.918698694
525397.415819571,0,20,3,2.06722794634376,0,492217.094466663
578093.769993774,1,21,4,7.91455237796204,1,580817.450137987
469672.971014973,0,20,1,21.7064305266389,1,427605.386081072
566827.535967615,0,20,4,2.25728724259881,1,587124.275468442
484779.462179915,1,20,1,-5.91452918975334,1,452259.483691055
542742.825663028,1,21,3,16.7324268826445,1,509110.538511542
489821.188101001,1,19,2,29.3629704918042,1,536143.324159788
551761.873855776,0,23,4,14.0263793733267,1,557051.88304153
