id_atleta,sexo,edad,disciplina,subdisciplina,posicion,nivel,estatura_cm,masa_corporal_kg,imc,pct_grasa,masa_grasa_kg,masa_libre_grasa_kg,masa_muscular_kg,cintura_cm,cadera_cm,envergadura_cm,muslo_cm,brazo_contraido_cm,suma_6_pliegues,sprint_10m_s,sprint_20m_s,sprint_30m_s,salto_vertical_cm,salto_horizontal_cm,handgrip_kg,sentadilla_1rm_kg,press_banca_1rm_kg,vo2max_estimado_ml_kg_min,beep_test_nivel,cooper_12min_m,yoyo_ir1_m,t_test_s,illinois_s,rsa_6x30m_promedio_s,rsa_6x30m_fatiga_pct,sit_and_reach_cm
ATH-0001,M,19,Atletismo,Fondo,Media Maratón,Intermedio,176.87,64.51,20.62,7.63,4.92,59.59,35.38,86.86,100.52,175.92,51.22,37.68,13.7,2.121,4.028,5.702,47.62,81.1,49.33,117.43,88.76,73.5,18.0,3084.48,1779.51,10.563,16.205,14.926,1.0,17.31
ATH-0002,F,28,Atletismo,Fondo,10km,Intermedio,185.74,58.89,17.07,10.64,6.27,52.62,30.9,88.44,96.84,188.64,56.44,33.19,27.58,2.269,4.233,5.953,44.24,79.2,45.15,81.41,82.18,77.25,18.0,3248.65,1840.17,9.965,15.664,14.535,6.76,23.78
ATH-0003,F,29,Atletismo,Fondo,Media Maratón,Intermedio,160.91,63.29,24.44,8.07,5.11,58.18,32.11,86.03,101.62,167.21,48.39,34.94,21.14,2.235,3.991,5.778,44.47,90.43,48.67,150.12,85.46,81.95,18.0,3526.61,1972.01,10.455,16.445,11.164,4.21,21.2
ATH-0004,M,23,Atletismo,Fondo,10km,Amateur,170.32,70.16,24.19,7.44,5.22,64.94,34.98,87.38,100.77,177.34,54.28,38.25,15.3,2.141,3.675,5.31,41.11,63.47,52.73,112.32,66.29,69.03,18.0,2805.93,1777.4,11.916,19.756,15.068,3.37,19.64
ATH-0005,M,18,Atletismo,Fondo,10km,Intermedio,172.01,56.2,18.99,4.0,2.25,53.95,31.29,84.53,96.0,173.65,53.93,35.08,14.99,2.191,4.255,6.258,40.92,94.26,46.63,103.27,69.73,81.01,18.0,3460.24,1975.58,9.744,15.002,15.705,1.0,24.21
ATH-0006,M,21,Atletismo,Fondo,Maratón,Amateur,161.21,72.93,28.06,10.47,7.64,65.29,35.83,89.67,100.12,166.35,52.18,35.32,29.03,2.12,3.831,5.295,47.81,78.73,50.38,147.23,100.72,65.61,17.77,2722.38,1401.99,10.803,17.348,13.353,7.6,21.47
ATH-0007,M,29,Atletismo,Fondo,Maratón,Intermedio,169.26,54.27,18.94,9.79,5.31,48.96,27.67,90.71,94.9,172.5,57.87,36.46,25.13,2.226,4.066,5.644,49.04,106.66,38.24,107.97,69.16,68.8,17.73,2855.16,1532.29,9.922,15.135,15.047,1.72,21.84
OUT-516,F,23,Atletismo,Fondo,10km,Intermedio,194.83,100.06,28.1,19.4,11.72,43.62,52.71,79.99,95.85,187.98,63.11,37.53,73.69,2.42,3.001,4.737,36.6,13.04,59.19,102.07,65.97,46.82,16.01,2256.51,1890.15,12.529,21.535,9.103,14.75,14.27
ATH-0009,M,20,Atletismo,Fondo,Media Maratón,Élite,177.15,57.82,18.43,6.04,3.49,54.33,28.84,88.27,97.2,181.42,53.1,35.73,17.57,2.135,3.947,5.801,47.8,87.33,51.66,133.49,92.4,76.98,18.0,3361.06,1769.0,10.749,16.67,12.869,1.07,18.47
ATH-0010,F,21,Atletismo,Fondo,Media Maratón,Élite,161.6,60.64,23.22,4.97,3.01,57.63,32.98,81.76,100.06,164.21,55.03,39.93,14.95,2.084,3.682,5.52,50.79,82.28,46.97,143.33,69.25,69.63,18.0,2945.93,1611.38,10.389,17.34,13.785,5.23,23.82
